Gender	Age	Major	Religion	Cafeteria	Expenditure	Study_hours	CGPA	Motivate_learning	Supportive	Achievements	Comfortable_classmates	Comfortable_ faculty	Participate	Friends	After_school	Overall_academic_experience	Rate_ Ashesi
Male	20	BA	Christian	Munchies	420	2	3	Completing various assignments	Somewhat supportive	Supporting your colleague(s) to excel in academics	Somewhat comfortable	Somewhat comfortable	Yes	7	Sleep	Satisfied	Above average
Male	21	CS	Islam	Akornor	420	25	3.38	Completing various assignments	 Extremely Supportive	Getting a perfect GPA at the end of the semester	Very comfortable	Very comfortable	Yes	0	 Play a sport	Satisfied	Above average
Female	19	MIS	Christian	BigBen	200	2	3.1	Completing various assignments	Somewhat supportive	Doing the right thing even when no one is watching	Somewhat comfortable	Somewhat comfortable	Yes	10	Sleep	Neither satisfied nor dissatisfied	Above average
Male	22	BA	Christian	Munchies	420	5	3.15	Others	Somewhat supportive	Making the Dean’s list	Very comfortable	Very comfortable	Yes	5	Watch YouTube Videos	Satisfied	Above average
Female	19	BA	Christian	BigBen	150	4	3.14	Others	 Extremely Supportive	Getting a perfect GPA at the end of the semester	Somewhat comfortable	Somewhat comfortable	No	5	Sleep	Neither satisfied nor dissatisfied	Average
Male	19	MIS	Christian	BigBen	500	2	3.0	Completing various assignments	 Extremely Supportive	Supporting your colleague(s) to excel in academics	Very comfortable	Somewhat comfortable	Yes	10	Play video game	Very satisfied	Excellent
Male	20	BA	Islam	BigBen	210	4	3	Teaching your colleagues	Neutral	Making the Dean’s list	Somewhat comfortable	Somewhat comfortable	Yes	5	Sleep	Satisfied	Average
Male	19	MIS	Christian	Munchies	350	3	2.38	Others	Neutral	Doing the right thing even when no one is watching	Somewhat comfortable	Somewhat comfortable	Yes	10	Sleep	Neither satisfied nor dissatisfied	Average
Male	19	CS	Christian	Munchies	200	2	2.88	Others	Somewhat supportive	Others	Very comfortable	Somewhat comfortable	No	20	Sleep	Neither satisfied nor dissatisfied	Average
Female	21	BA	Christian	Munchies	200	4	1.81	Teaching your colleagues	Somewhat supportive	Supporting your colleague(s) to excel in academics	Somewhat comfortable	Somewhat uncomfortable	Yes	14	 Play a sport	Neither satisfied nor dissatisfied	Average
Female	19	BA	Christian	BigBen	50	3	3.27	Others	Somewhat supportive	Doing the right thing even when no one is watching	Very comfortable	Very comfortable	No	0	Sleep	Very satisfied	Above average
Male	21	MIS	Christian	Munchies	420	15	3.0	 Asking a lot of questions in class	 Extremely Supportive	Doing the right thing even when no one is watching	Very comfortable	Very comfortable	Yes	14	Watch YouTube Videos	Satisfied	Excellent
Male	20	MIS	Christian	Munchies	210	4	3.71	Others	Neutral	Others	Neither comfortable nor uncomfortable	Somewhat uncomfortable	Yes	0	Others	 Dissatisfied	Above average
Male	19	MIS	Christian	Munchies	100	40	3.0	Teaching your colleagues	Somewhat supportive	Supporting your colleague(s) to excel in academics	Somewhat uncomfortable	Somewhat comfortable	Yes	50	Watch YouTube Videos	Very dissatisfied 	Above average
Female	19	BA	Christian	Akornor	200	2	3.35	Others	Neutral	Making the Dean’s list	Somewhat comfortable	Somewhat comfortable	Yes	8	Sleep	Neither satisfied nor dissatisfied	Above average
Male	18	CS	Christian	Akornor	385	3	3.13	Completing various assignments	Neutral	Others	Neither comfortable nor uncomfortable	Neither comfortable nor uncomfortable	Yes	7	Play video game	Neither satisfied nor dissatisfied	Average
Male	22	CS	Christian	BigBen	420	4	3.5	Completing various assignments	Neutral	Doing the right thing even when no one is watching	Somewhat uncomfortable	Somewhat comfortable	Yes	3	 Play a sport	Satisfied	Average
Female	19	BA	Christian	BigBen	371	5	3.0	 Asking a lot of questions in class	Neutral	Doing the right thing even when no one is watching	Somewhat comfortable	Very comfortable	Yes	20	Sleep	Neither satisfied nor dissatisfied	Above average
Male	19	CS	Christian	Munchies	194.6	4	3.9	Completing various assignments	 Extremely Supportive	Making the Dean’s list	Very comfortable	Somewhat comfortable	Yes	34	Play video game	Satisfied	Above average
Female	21	BA	Christian	BigBen	420	4	3.53	Others	Neutral	Making the Dean’s list	Neither comfortable nor uncomfortable	Very uncomfortable	Yes	10	Others	Satisfied	Above average
Male	18	CS	Christian	BigBen	360	1	2.73	Completing various assignments	Somewhat supportive	Doing the right thing even when no one is watching	Somewhat uncomfortable	Neither comfortable nor uncomfortable	Yes	2	Play video game	Neither satisfied nor dissatisfied	Above average
Female	18	MIS	Christian	Munchies	330	4	2.56	Writing a lot of quizzes	Somewhat supportive	Supporting your colleague(s) to excel in academics	Very comfortable	Somewhat comfortable	Yes	6	 Play a sport	 Dissatisfied	Average
Male	20	CS	Christian	Munchies	210	4	3.1	Others	Neutral	Supporting your colleague(s) to excel in academics	Very comfortable	Neither comfortable nor uncomfortable	No	10	Play video game	 Dissatisfied	Average
Female	20	BA	Christian	BigBen	280	4	3.5	Completing various assignments	 Extremely Supportive	Supporting your colleague(s) to excel in academics	Very comfortable	Very comfortable	Yes	7	Sleep	Satisfied	Above average
Female	19	CS	Christian	Munchies	280	1	3.0	Completing various assignments	Not supportive	Supporting your colleague(s) to excel in academics	Somewhat comfortable	Very comfortable	Yes	3	Watch TV/Movie	Satisfied	Above average
Male	20	CS	Christian	Akornor	200	2	2.7	Others	Not supportive	Supporting your colleague(s) to excel in academics	Somewhat uncomfortable	Somewhat comfortable	No	0	Others	 Dissatisfied	Average
